Player,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Position,Age,Country,Club,url,Minutes,DetailedPosition
Sven Ulreich,0.63,2.63,1.88,76.2%,1.0,0.0,0.0,0.63,62.5%,0.13,0.0,0.13,0.0,100.0%,Advanced Goalkeeping,0.0,0.13,0.0,0.83,0.27,0.2,2.63,7.88,33.3%,33.75,5.38,21.9%,27.0,6.13,8.2%,20.4,11.63,0.63,5.4%,1.38,18.2,GK,35-025,GER,Bayern Munich,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,720,Goalkeeper
Frederik Rønnow,0.96,3.84,2.82,77.9%,0.55,0.22,0.25,0.38,38.9%,0.16,0.11,0.05,0.0,33.3%,Advanced Goalkeeping,0.0,0.11,0.0,1.23,0.28,0.27,7.42,19.89,37.3%,36.25,3.64,44.1%,36.2,5.67,68.6%,50.4,13.67,1.48,10.8%,1.21,14.7,GK,31-024,DEN,Union Berlin,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,3285,Goalkeeper
Alexander Schwolow,2.53,5.75,3.22,59.8%,0.21,0.11,0.64,0.05,5.6%,0.21,0.21,0.0,0.0,0.0%,Advanced Goalkeeping,0.05,0.16,0.0,2.08,0.33,-0.45,8.11,19.45,41.7%,31.49,3.65,44.4%,37.6,7.84,69.9%,53.5,13.0,0.21,1.7%,1.02,15.1,GK,31-087,GER,Union Berlin,https://fbref.com/en/players/0d55d942/Alexander-Schwolow,1675,Goalkeeper
Andriy Lunin,0.91,2.91,2.09,68.8%,0.64,0.18,0.18,0.36,36.4%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.09,0.09,0.79,0.27,-0.03,1.64,3.18,51.4%,25.18,5.55,7.2%,22.1,5.45,25.0%,31.6,10.09,0.45,4.5%,1.45,19.0,GK,24-198,UKR,Real Madrid,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,990,Goalkeeper
Kepa Arrizabalaga,1.06,4.13,3.14,74.8%,0.34,0.26,0.42,0.34,34.2%,0.03,0.03,0.0,0.0,0.0%,Advanced Goalkeeping,0.03,0.13,0.08,1.17,0.29,0.18,2.52,7.95,31.7%,29.04,5.35,19.1%,27.2,6.03,40.1%,34.2,11.38,0.55,4.8%,1.61,17.0,GK,28-329,ESP,Real Madrid,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,3465,Goalkeeper
Ederson,0.71,2.27,1.56,72.5%,0.73,0.16,0.11,0.4,40.0%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.11,0.0,0.67,0.26,-0.04,3.96,8.67,45.6%,31.89,3.98,21.9%,28.8,4.51,37.4%,35.8,7.87,0.47,5.9%,0.93,16.2,GK,30-011,BRA,Manchester City,https://fbref.com/en/players/3bb7b8b4/Ederson,4050,Goalkeeper
Stefan Ortega,0.4,4.2,3.8,90.5%,0.6,0.4,0.0,0.6,60.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.2,0.0,1.04,0.25,0.64,2.8,5.8,48.3%,39.4,4.4,13.7%,23.3,4.4,9.1%,23.3,6.2,0.4,6.5%,2.4,21.8,GK,30-295,GER,Manchester City,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,450,Goalkeeper
Mike Maignan,0.89,3.18,2.22,74.2%,0.46,0.32,0.21,0.36,37.0%,0.14,0.07,0.07,0.0,50.0%,Advanced Goalkeeping,0.04,0.11,0.0,0.99,0.27,0.1,4.29,10.01,42.9%,33.99,5.47,23.6%,29.9,4.83,41.5%,38.6,11.72,1.0,8.5%,1.39,16.4,GK,28-056,FRA,Milan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,2518,Goalkeeper
Antonio Mirante,1.48,4.37,2.81,67.9%,0.47,0.23,0.31,0.39,41.7%,0.23,0.16,0.08,0.0,33.3%,Advanced Goalkeeping,0.08,0.0,0.0,1.23,0.24,-0.2,3.59,8.27,43.4%,24.12,4.92,25.2%,30.9,6.48,27.7%,28.6,12.65,0.08,0.6%,1.8,18.3,GK,40-051,ITA,Milan,https://fbref.com/en/players/30223b33/Antonio-Mirante,1153,Goalkeeper
Marco Sportiello,1.41,4.3,2.89,68.8%,0.4,0.2,0.34,0.13,15.4%,0.07,0.07,0.0,0.0,0.0%,Advanced Goalkeeping,0.07,0.13,0.0,1.32,0.29,-0.08,3.49,9.94,35.1%,23.24,5.71,20.5%,28.8,7.79,66.4%,49.7,13.43,1.21,9.0%,1.21,15.0,GK,31-110,ITA,Milan,https://fbref.com/en/players/ac4003af/Marco-Sportiello,1339,Goalkeeper
Alex Meret,0.72,2.65,1.88,75.4%,0.77,0.12,0.12,0.44,44.2%,0.12,0.07,0.05,0.0,40.0%,Advanced Goalkeeping,0.0,0.05,0.0,0.82,0.27,0.1,1.67,4.35,38.5%,21.93,3.67,15.0%,25.7,6.0,17.8%,25.1,10.3,0.4,3.8%,1.12,15.8,GK,26-159,ITA,Napoli,https://fbref.com/en/players/9413b19f/Alex-Meret,3870,Goalkeeper
Pierluigi Gollini,1.2,2.2,1.0,45.5%,0.6,0.2,0.2,0.2,20.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.2,0.0,0.46,0.21,-0.74,5.4,10.6,50.9%,36.6,3.2,25.7%,31.0,4.8,25.0%,31.2,4.6,0.2,4.3%,2.8,22.2,GK,28-163,ITA,Napoli,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,450,Goalkeeper
Stole Dimitrievski,1.46,4.09,2.73,66.9%,0.38,0.24,0.38,0.24,25.0%,0.14,0.11,0.0,0.03,0.0%,Advanced Goalkeeping,0.0,0.24,0.11,1.29,0.29,-0.05,4.39,14.32,30.6%,21.85,5.28,45.8%,38.8,7.88,54.6%,45.4,13.27,0.68,5.1%,1.35,16.2,GK,29-246,MKD,Rayo Vallecano,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski,3324,Goalkeeper
Cárdenas,1.92,5.0,3.08,65.0%,0.25,0.25,0.5,0.21,20.8%,0.17,0.17,0.0,0.0,0.0%,Advanced Goalkeeping,0.04,0.21,0.0,1.73,0.31,-0.19,3.83,12.33,31.1%,21.88,3.54,41.9%,36.6,8.25,38.4%,35.7,13.83,0.42,3.0%,1.08,15.6,GK,26-153,ESP,Rayo Vallecano,https://fbref.com/en/players/e1846dde/Cardenas,2160,Goalkeeper
Lukáš Hrádecký,1.33,4.02,2.74,72.4%,0.43,0.26,0.3,0.3,30.4%,0.24,0.22,0.02,0.0,9.1%,Advanced Goalkeeping,0.02,0.15,0.07,1.12,0.22,-0.14,3.33,10.09,33.0%,26.02,4.43,30.0%,31.5,6.11,37.4%,34.5,12.39,0.8,6.5%,0.74,13.7,GK,33-277,FIN,Leverkusen,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky,4170,Goalkeeper
Koen Casteels,1.34,4.03,2.78,69.0%,0.47,0.25,0.28,0.38,37.5%,0.16,0.09,0.0,0.06,0.0%,Advanced Goalkeeping,0.0,0.16,0.09,1.2,0.28,-0.05,7.41,17.47,42.4%,39.56,5.03,32.5%,33.5,7.94,57.9%,47.8,14.94,0.84,5.6%,1.41,16.2,GK,31-064,BEL,Wolfsburg,https://fbref.com/en/players/db401046/Koen-Casteels,2880,Goalkeeper
Pavao Pervan,2.33,6.33,4.17,65.8%,0.17,0.0,0.83,0.17,16.7%,0.17,0.17,0.0,0.0,0.0%,Advanced Goalkeeping,0.17,0.33,0.17,1.88,0.27,-0.28,3.0,9.67,31.0%,26.33,5.17,31.0%,31.8,8.17,18.4%,26.4,16.17,0.33,2.1%,1.17,13.6,GK,35-288,AUT,Wolfsburg,https://fbref.com/en/players/c89e8aae/Pavao-Pervan,540,Goalkeeper
Florian Müller,2.0,4.73,2.73,59.2%,0.2,0.27,0.53,0.0,0.0%,0.07,0.07,0.0,0.0,0.0%,Advanced Goalkeeping,0.13,0.2,0.0,1.53,0.31,-0.47,5.13,11.0,46.7%,30.73,5.2,26.9%,29.4,6.8,40.2%,37.0,13.2,0.4,3.0%,1.33,18.4,GK,25-288,GER,Freiburg,https://fbref.com/en/players/cbac6ec9/Florian-Muller,1350,Goalkeeper
Yann Sommer,1.26,3.45,2.23,71.0%,0.55,0.23,0.23,0.35,35.5%,0.29,0.26,0.0,0.03,0.0%,Advanced Goalkeeping,0.06,0.06,0.03,1.33,0.32,0.1,3.0,7.45,40.3%,38.39,4.58,16.1%,25.8,6.06,21.3%,27.5,12.23,0.55,4.5%,1.26,15.2,GK,34-254,SUI,Inter,https://fbref.com/en/players/420c18a1/Yann-Sommer,2790,Goalkeeper
Emil Audero,1.5,4.91,3.41,74.1%,0.09,0.23,0.68,0.14,13.6%,0.32,0.23,0.09,0.0,28.6%,Advanced Goalkeeping,0.0,0.18,0.09,1.25,0.19,-0.16,6.91,18.64,37.1%,28.0,3.91,49.0%,40.2,8.36,58.7%,44.8,14.68,1.05,7.1%,0.91,13.5,GK,26-222,ITA,Inter,https://fbref.com/en/players/649b01d8/Emil-Audero,1980,Goalkeeper
Lorenzo Montipò,1.47,4.78,3.36,69.8%,0.25,0.22,0.53,0.17,16.7%,0.06,0.03,0.03,0.0,50.0%,Advanced Goalkeeping,0.03,0.08,0.08,1.28,0.26,-0.11,9.92,21.61,45.9%,24.86,3.44,62.6%,44.4,7.69,78.7%,55.5,13.53,0.67,4.9%,1.44,15.1,GK,27-189,ITA,Hellas Verona,https://fbref.com/en/players/c1d95617/Lorenzo-Montipo,3240,Goalkeeper
Philipp Köhn,1.45,4.55,3.09,70.0%,0.36,0.36,0.27,0.27,27.3%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.36,0.0,1.43,0.3,-0.03,4.27,11.82,36.2%,20.45,3.27,44.9%,37.8,5.36,49.2%,40.8,14.36,1.0,7.0%,0.91,12.2,GK,25-148,SUI,Monaco,https://fbref.com/en/players/ff74841d/Philipp-Kohn,990,
Alphonse Areola,1.39,5.74,4.18,78.8%,0.35,0.35,0.17,0.17,20.0%,0.35,0.17,0.17,0.0,50.0%,Advanced Goalkeeping,0.0,0.17,0.0,1.83,0.26,0.44,4.87,15.32,31.8%,17.23,5.05,57.6%,40.9,8.88,60.8%,42.4,19.15,1.39,7.3%,0.17,7.7,GK,30-182,FRA,West Ham,https://fbref.com/en/players/2f965a72/Alphonse-Areola,1170,Goalkeeper
Łukasz Fabiański,1.44,4.58,3.14,68.8%,0.32,0.19,0.51,0.22,23.3%,0.1,0.03,0.03,0.03,50.0%,Advanced Goalkeeping,0.0,0.1,0.03,1.32,0.28,-0.08,5.7,15.07,37.8%,18.4,4.1,55.7%,39.8,7.33,62.4%,46.2,14.72,0.8,5.4%,0.77,13.2,GK,38-132,POL,West Ham,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,2813,Goalkeeper
Guglielmo Vicario,1.26,4.53,3.27,75.7%,0.36,0.36,0.29,0.26,26.7%,0.23,0.16,0.03,0.03,16.7%,Advanced Goalkeeping,0.0,0.26,0.03,1.36,0.26,0.08,4.24,14.07,30.1%,34.86,4.95,32.8%,33.3,5.37,47.0%,40.6,18.76,1.0,5.3%,0.87,12.6,GK,26-325,ITA,Tottenham,https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,2783,Goalkeeper
Brandon Austin,1.6,3.2,1.6,50.0%,0.6,0.0,0.4,0.2,20.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.0,0.0,1.22,0.42,-0.38,3.8,8.2,46.3%,13.8,3.0,30.4%,30.6,8.8,45.5%,38.2,13.6,0.4,2.9%,1.8,19.9,GK,24-232,ENG,Tottenham,https://fbref.com/en/players/5e253986/Brandon-Austin,450,Goalkeeper
Fraser Forster,1.61,4.0,2.32,62.9%,0.32,0.26,0.39,0.26,26.7%,0.19,0.13,0.06,0.0,33.3%,Advanced Goalkeeping,0.06,0.26,0.0,1.5,0.34,-0.11,2.52,8.58,29.3%,20.26,5.61,27.4%,29.6,6.65,45.6%,36.5,13.55,0.32,2.4%,1.23,15.9,GK,35-164,ENG,Tottenham,https://fbref.com/en/players/c3e39f12/Fraser-Forster,1395,Goalkeeper
Paulo Gazzaniga,1.26,4.29,3.0,73.7%,0.42,0.29,0.29,0.16,16.1%,0.19,0.13,0.03,0.03,20.0%,Advanced Goalkeeping,0.0,0.16,0.0,1.52,0.32,0.26,5.29,14.74,35.9%,29.77,4.84,31.7%,32.8,8.65,61.2%,48.7,17.48,1.35,7.7%,1.32,14.7,GK,31-238,ARG,Girona,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,2790,Goalkeeper
Juan Carlos,2.14,4.57,2.43,56.3%,0.14,0.29,0.57,0.0,0.0%,0.14,0.14,0.0,0.0,0.0%,Advanced Goalkeeping,0.29,0.14,0.0,1.96,0.4,-0.19,2.43,6.86,35.4%,25.43,4.43,19.7%,28.9,7.0,26.5%,30.8,12.71,0.43,3.4%,2.14,17.4,GK,35-220,ESP,Girona,https://fbref.com/en/players/688b96e3/Juan-Carlos,630,Goalkeeper
Alisson,1.2,4.07,2.86,71.5%,0.57,0.18,0.25,0.36,36.4%,0.11,0.05,0.05,0.02,50.0%,Advanced Goalkeeping,0.0,0.02,0.05,1.4,0.33,0.25,3.23,7.89,40.9%,33.5,5.48,18.7%,27.0,5.34,30.6%,33.3,10.39,0.73,7.0%,2.05,18.7,GK,30-330,BRA,Liverpool,https://fbref.com/en/players/7a2e46a8/Alisson,3960,Goalkeeper
Caoimhín Kelleher,0.5,5.0,4.5,100.0%,0.5,0.5,0.0,0.5,50.0%,0.5,0.5,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.0,0.0,1.15,0.13,0.65,7.0,19.0,36.8%,36.5,8.0,45.2%,35.4,11.0,22.7%,27.0,19.0,1.0,5.3%,0.5,15.8,GK,24-278,IRL,Liverpool,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,180,Goalkeeper
Marc-André ter Stegen,0.77,2.94,2.26,76.2%,0.66,0.14,0.23,0.59,60.5%,0.05,0.07,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.11,0.09,0.84,0.27,0.15,4.53,8.55,52.9%,31.09,4.96,21.3%,28.7,5.39,31.9%,33.8,9.78,0.45,4.6%,1.06,16.4,GK,31-120,GER,Barcelona,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,3977,Goalkeeper
Pau López,1.11,3.87,2.78,73.9%,0.58,0.13,0.28,0.28,28.2%,0.1,0.1,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.2,0.03,1.03,0.25,-0.06,3.39,9.85,34.4%,28.84,3.95,25.5%,31.1,5.19,48.3%,39.6,11.27,0.66,5.8%,1.22,15.4,GK,28-258,ESP,Marseille,https://fbref.com/en/players/20b9f052/Pau-Lopez,3555,Goalkeeper
Rubén Blanco,1.09,3.45,2.73,68.4%,0.18,0.55,0.36,0.0,0.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.18,0.36,0.71,0.2,-0.02,2.0,8.55,23.4%,30.0,5.64,20.6%,27.4,7.45,31.7%,32.1,13.27,0.55,4.1%,1.27,17.9,GK,28-034,ESP,Marseille,https://fbref.com/en/players/967f34d3/Ruben-Blanco,495,Goalkeeper
Aaron Ramsdale,1.15,3.6,2.45,70.1%,0.63,0.2,0.18,0.35,35.0%,0.13,0.08,0.0,0.05,0.0%,Advanced Goalkeeping,0.0,0.2,0.0,1.07,0.28,-0.09,2.83,11.38,24.8%,25.53,4.7,34.7%,33.2,4.2,60.1%,49.9,9.7,0.55,5.7%,1.33,16.4,GK,25-106,ENG,Arsenal,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,3630,Goalkeeper
Karl Jakob Hein,1.6,5.0,3.8,68.0%,0.4,0.2,0.4,0.2,20.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.6,0.4,0.98,0.21,-0.22,4.4,19.0,23.2%,23.0,3.8,53.9%,40.8,8.0,82.5%,56.2,20.6,1.0,4.9%,1.8,15.5,GK,21-137,EST,Arsenal,https://fbref.com/en/players/aa81d8f8/Karl-Jakob-Hein,450,Goalkeeper
David Raya,1.18,5.06,3.97,77.9%,0.41,0.35,0.24,0.32,32.4%,0.06,0.06,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.21,0.09,1.25,0.24,0.16,9.35,23.44,39.9%,35.62,4.03,52.0%,39.9,6.97,70.5%,51.6,16.12,1.29,8.0%,1.5,16.1,GK,27-347,ESP,Arsenal,https://fbref.com/en/players/98ea5115/David-Raya,3060,Goalkeeper
Jason Steele,1.47,3.82,2.47,64.6%,0.53,0.18,0.29,0.35,35.3%,0.18,0.12,0.06,0.0,33.3%,Advanced Goalkeeping,0.0,0.18,0.18,1.26,0.3,-0.04,2.24,4.88,45.8%,32.71,3.29,14.6%,24.1,3.82,3.1%,13.0,9.41,0.65,6.9%,1.24,15.4,GK,33-010,ENG,Brighton,https://fbref.com/en/players/28300a16/Jason-Steele,1530,Goalkeeper
Bart Verbruggen,0.83,4.5,3.67,85.2%,0.5,0.17,0.33,0.33,33.3%,0.17,0.17,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.0,0.0,1.38,0.27,0.55,4.33,13.0,33.3%,37.17,5.83,28.7%,31.7,6.83,34.1%,34.1,12.33,1.33,10.8%,0.5,11.1,GK,21-010,NED,Brighton,https://fbref.com/en/players/cf134113/Bart-Verbruggen,600,
Yehvann Diouf,1.0,4.35,3.38,77.7%,0.38,0.35,0.26,0.44,44.1%,0.03,0.03,0.0,0.0,0.0%,Advanced Goalkeeping,0.06,0.06,0.03,1.19,0.27,0.22,4.38,10.24,42.8%,28.38,6.21,28.4%,31.8,6.03,36.1%,35.8,14.32,1.32,9.2%,1.09,12.6,GK,23-285,FRA,Reims,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,3060,Goalkeeper
Oliver Christensen,2.13,4.8,2.67,58.3%,0.2,0.27,0.53,0.1,10.0%,0.13,0.13,0.0,0.0,0.0%,Advanced Goalkeeping,0.13,0.23,0.0,1.7,0.34,-0.43,6.33,18.57,34.1%,30.03,4.63,44.6%,36.8,6.8,76.0%,55.0,14.47,0.9,6.2%,2.03,19.1,GK,24-159,DEN,Fiorentina,https://fbref.com/en/players/af104654/Oliver-Christensen,2700,Goalkeeper
Pietro Terracciano,1.3,3.27,2.0,66.3%,0.33,0.27,0.4,0.17,16.7%,0.23,0.2,0.03,0.0,14.3%,Advanced Goalkeeping,0.0,0.13,0.07,1.11,0.27,-0.12,5.27,12.67,41.6%,30.6,3.87,31.6%,33.1,6.73,44.6%,40.1,9.4,0.4,4.3%,1.83,18.3,GK,33-173,ITA,Fiorentina,https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,2700,Goalkeeper
Mattia Perin,1.0,4.31,3.24,80.8%,0.33,0.25,0.33,0.41,45.5%,0.25,0.17,0.08,0.0,33.3%,Advanced Goalkeeping,0.0,0.08,0.0,1.35,0.27,0.36,3.15,9.54,33.0%,25.22,4.98,29.3%,31.3,6.14,35.1%,34.0,14.52,0.33,2.3%,1.0,15.8,GK,30-291,ITA,Juventus,https://fbref.com/en/players/4c62d0c8/Mattia-Perin,1085,Goalkeeper
Wojciech Szczęsny,1.0,3.62,2.62,75.5%,0.59,0.13,0.31,0.46,47.4%,0.13,0.13,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.13,0.0,1.03,0.25,0.02,4.19,9.58,43.7%,22.52,4.49,31.4%,32.8,5.88,41.9%,37.4,15.77,0.46,2.9%,0.8,14.3,GK,33-132,POL,Juventus,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,3535,Goalkeeper
Jan Oblak,0.77,3.06,2.29,76.5%,0.56,0.24,0.21,0.39,40.6%,0.09,0.06,0.0,0.03,0.0%,Advanced Goalkeeping,0.03,0.03,0.0,0.87,0.27,0.07,4.34,12.65,34.3%,20.4,4.1,38.6%,35.4,7.75,61.7%,46.2,12.38,0.83,6.7%,0.65,14.1,GK,30-233,SVN,Atlético Madrid,https://fbref.com/en/players/ee8508c0/Jan-Oblak,3032,Goalkeeper
Ivo Grbić,1.24,4.71,3.47,79.2%,0.53,0.27,0.18,0.18,20.0%,0.27,0.27,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.36,0.0,1.38,0.24,-0.03,4.44,14.39,30.9%,22.3,4.89,37.1%,34.1,9.6,63.9%,48.2,19.99,2.04,10.2%,0.62,9.2,GK,27-222,CRO,Atlético Madrid,https://fbref.com/en/players/3f034750/Ivo-Grbic,1012,Goalkeeper
Unai Simón,1.3,3.84,2.63,68.6%,0.44,0.16,0.41,0.25,25.8%,0.1,0.1,0.0,0.0,0.0%,Advanced Goalkeeping,0.03,0.06,0.1,1.12,0.28,-0.08,4.73,12.44,38.0%,25.84,4.98,32.9%,34.2,6.29,62.1%,48.9,11.75,0.6,5.1%,1.3,17.0,GK,26-078,ESP,Athletic Club,https://fbref.com/en/players/5dcf3e90/Unai-Simon,2835,Goalkeeper
Julen Agirrezabala,0.8,2.53,1.73,68.4%,0.13,0.4,0.4,0.27,28.6%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.0,0.0,0.73,0.3,-0.07,4.93,13.47,36.6%,23.87,4.4,29.6%,30.5,8.27,77.4%,55.4,12.8,1.47,11.5%,1.33,15.4,GK,22-245,ESP,Athletic Club,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,675,Goalkeeper
Emiliano Martínez,1.1,3.89,2.89,74.4%,0.52,0.21,0.3,0.37,37.5%,0.12,0.12,0.0,0.0,0.0%,Advanced Goalkeeping,0.03,0.15,0.09,1.12,0.26,0.11,5.96,15.27,39.0%,34.73,3.95,34.5%,32.5,6.14,53.5%,41.9,14.2,1.73,12.2%,2.34,17.0,GK,30-360,ARG,Aston Villa,https://fbref.com/en/players/7956236f/Emiliano-Martinez,2959,Goalkeeper
Robin Olsen,1.55,4.0,2.45,63.6%,0.36,0.18,0.45,0.09,9.1%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.0,0.0,1.15,0.27,-0.39,3.27,11.91,27.5%,27.36,6.36,31.2%,32.9,7.18,46.8%,41.4,11.09,0.36,3.3%,0.91,15.0,GK,33-232,SWE,Aston Villa,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,990,Goalkeeper
Giorgi Mamardashvili,1.21,3.87,2.72,70.9%,0.31,0.23,0.46,0.18,17.9%,0.15,0.08,0.0,0.08,0.0%,Advanced Goalkeeping,0.0,0.21,0.05,1.13,0.28,-0.02,4.51,13.49,33.5%,21.08,3.54,42.2%,35.8,6.36,72.2%,53.2,11.95,0.9,7.5%,1.18,16.2,GK,22-333,GEO,Valencia,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,3510,Goalkeeper
Jaume Doménech,1.5,4.64,3.14,70.8%,0.18,0.43,0.39,0.14,14.3%,0.21,0.14,0.07,0.0,33.3%,Advanced Goalkeeping,0.07,0.18,0.07,1.32,0.25,-0.11,8.0,17.04,47.0%,23.07,3.68,47.1%,36.6,8.68,71.2%,49.7,17.32,0.29,1.6%,0.71,13.4,GK,32-296,ESP,Valencia,https://fbref.com/en/players/c9cb972b/Jaume-Domenech,2520,Goalkeeper
Sergio Herrera,1.38,4.31,2.94,69.6%,0.31,0.19,0.5,0.19,18.8%,0.25,0.06,0.06,0.13,50.0%,Advanced Goalkeeping,0.06,0.19,0.06,1.31,0.29,-0.01,9.81,21.94,44.7%,28.13,3.0,57.6%,43.1,8.5,67.6%,50.2,14.25,1.06,7.5%,1.25,18.4,GK,30-084,ESP,Osasuna,https://fbref.com/en/players/a4995f48/Sergio-Herrera,1440,Goalkeeper
Aitor Fernández,0.95,3.59,2.68,73.4%,0.45,0.23,0.32,0.36,36.4%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.0,0.05,0.88,0.26,-0.03,8.95,20.73,43.2%,29.73,4.14,50.2%,40.9,8.18,71.1%,54.0,14.95,0.64,4.3%,1.73,16.5,GK,32-117,ESP,Osasuna,https://fbref.com/en/players/a01c3d54/Aitor-Fernandez,1980,Goalkeeper
Wladimiro Falcone,1.22,4.03,2.86,73.2%,0.24,0.32,0.43,0.16,16.2%,0.16,0.14,0.03,0.0,16.7%,Advanced Goalkeeping,0.05,0.14,0.08,1.15,0.25,0.01,5.14,19.11,26.9%,22.81,3.51,58.3%,42.5,7.59,76.5%,52.0,13.73,0.62,4.5%,1.08,14.6,GK,28-138,ITA,Lecce,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,3330,Goalkeeper
Gregor Kobel,1.09,4.53,3.44,76.7%,0.63,0.25,0.14,0.42,42.9%,0.07,0.04,0.04,0.0,50.0%,Advanced Goalkeeping,0.0,0.18,0.04,1.31,0.28,0.23,3.75,9.4,39.9%,32.32,4.49,21.0%,29.0,6.88,35.2%,34.8,10.88,0.53,4.8%,1.16,16.1,GK,25-265,SUI,Dortmund,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,2565,Goalkeeper
Alexander Meyer,1.48,4.26,2.78,67.3%,0.43,0.17,0.35,0.17,18.2%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.26,0.0,1.17,0.26,-0.31,4.26,10.0,42.6%,37.48,4.52,19.7%,28.0,7.65,34.1%,34.8,14.26,1.04,7.3%,2.35,20.1,GK,32-137,GER,Dortmund,https://fbref.com/en/players/b56dd813/Alexander-Meyer,1035,Goalkeeper
Kevin Trapp,1.38,4.05,2.67,67.7%,0.41,0.26,0.33,0.23,23.1%,0.13,0.08,0.03,0.03,25.0%,Advanced Goalkeeping,0.0,0.13,0.03,1.31,0.31,-0.05,2.44,10.33,23.6%,21.31,4.03,40.0%,34.7,6.33,28.7%,32.5,11.67,0.49,4.2%,0.82,14.7,GK,33-051,GER,Eint Frankfurt,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp,3510,Goalkeeper
Matz Sels,1.57,4.41,2.84,69.9%,0.3,0.3,0.41,0.19,18.9%,0.27,0.24,0.0,0.03,0.0%,Advanced Goalkeeping,0.03,0.16,0.0,1.41,0.27,-0.16,4.24,12.3,34.5%,20.05,3.19,46.9%,37.7,5.16,56.0%,44.2,12.92,0.78,6.1%,0.81,12.9,GK,31-183,BEL,Strasbourg,https://fbref.com/en/players/834b5c4c/Matz-Sels,3330,Goalkeeper
Marco Bizot,1.31,4.69,3.42,76.3%,0.33,0.25,0.42,0.22,22.2%,0.22,0.19,0.03,0.0,12.5%,Advanced Goalkeeping,0.03,0.25,0.06,1.43,0.26,0.18,5.64,13.31,42.4%,22.44,4.47,38.5%,35.6,8.06,57.9%,43.6,14.53,0.89,6.1%,0.75,11.8,GK,32-171,NED,Brest,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3240,Goalkeeper
