Player,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Position,Age,Country,Club,url,Minutes,DetailedPosition
Mile Svilar,1.67,4.33,2.67,69.2%,0.0,0.0,1.0,0.0,0.0%,0.67,0.33,0.33,0.0,50.0%,Advanced Goalkeeping,0.33,0.0,0.33,1.57,0.21,0.23,6.33,16.67,38.0%,22.0,4.67,40.9%,33.8,8.33,92.0%,55.8,10.67,0.0,0.0%,3.67,19.4,GK,24-001,SRB,Roma,https://fbref.com/en/players/bcf5058a/Mile-Svilar,270,Goalkeeper
Finn Dahmen,2.3,5.4,3.0,63.0%,0.3,0.3,0.4,0.0,0.0%,0.5,0.3,0.2,0.0,40.0%,Advanced Goalkeeping,0.0,0.4,0.1,1.8,0.25,-0.4,5.4,15.6,34.6%,33.8,4.0,32.5%,33.0,6.5,70.8%,51.5,19.1,1.7,8.9%,1.4,15.1,GK,25-154,GER,Augsburg,https://fbref.com/en/players/dee3013b/Finn-Dahmen,900,Goalkeeper
Tomáš Koubek,2.0,5.91,4.09,66.2%,0.09,0.36,0.55,0.09,9.1%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.09,0.0,0.18,2.0,0.36,0.18,7.0,20.45,34.2%,37.64,4.36,37.9%,36.5,8.73,70.8%,52.5,16.0,0.91,5.7%,2.0,16.8,GK,31-002,CZE,Augsburg,https://fbref.com/en/players/dc366c36/Tomas-Koubek,990,Goalkeeper
Łukasz Skorupski,1.31,4.25,2.94,73.9%,0.36,0.33,0.31,0.19,19.4%,0.25,0.19,0.06,0.0,22.2%,Advanced Goalkeeping,0.03,0.17,0.06,1.23,0.24,-0.02,3.83,10.0,38.3%,24.83,5.5,30.0%,31.6,7.31,35.0%,34.2,13.42,0.72,5.4%,0.53,12.6,GK,32-115,POL,Bologna,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,3240,Goalkeeper
Robin Zentner,1.63,4.33,2.67,65.4%,0.29,0.33,0.38,0.25,25.0%,0.21,0.13,0.04,0.04,25.0%,Advanced Goalkeeping,0.04,0.04,0.0,1.43,0.3,-0.19,6.08,18.54,32.8%,26.83,5.46,49.7%,39.8,7.42,70.2%,53.8,12.67,1.63,12.8%,2.08,18.0,GK,28-304,GER,Mainz 05,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner,2160,Goalkeeper
Vanja Milinković-Savić,1.16,3.59,2.43,72.9%,0.32,0.3,0.38,0.3,29.7%,0.22,0.19,0.0,0.03,0.0%,Advanced Goalkeeping,0.0,0.16,0.0,1.01,0.23,-0.15,7.51,24.38,30.8%,39.05,4.95,44.6%,39.6,7.65,91.2%,70.2,12.27,0.89,7.3%,1.81,16.2,GK,26-189,SRB,Torino,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,3330,Goalkeeper
Jonas Omlin,1.66,4.94,3.32,68.8%,0.32,0.24,0.51,0.24,25.0%,0.12,0.12,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.08,0.04,1.51,0.29,-0.09,4.43,13.72,32.3%,35.67,5.42,28.2%,30.8,6.72,51.8%,41.6,15.82,0.91,5.8%,1.27,14.0,GK,29-230,SUI,M'Gladbach,https://fbref.com/en/players/c631f952/Jonas-Omlin,2276,Goalkeeper
David Soria,1.11,4.18,3.0,76.1%,0.29,0.32,0.39,0.37,36.8%,0.21,0.11,0.11,0.0,50.0%,Advanced Goalkeeping,0.0,0.18,0.03,1.14,0.23,0.06,10.74,24.08,44.6%,20.89,2.58,74.7%,49.8,9.32,91.0%,59.9,15.34,0.87,5.7%,1.29,15.4,GK,30-146,ESP,Getafe,https://fbref.com/en/players/8f8c6934/David-Soria,3420,Goalkeeper
Daniel Fuzato,1.4,5.2,3.8,73.1%,0.4,0.2,0.4,0.4,40.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.2,0.0,1.12,0.22,-0.28,3.4,10.2,33.3%,24.4,6.2,32.8%,34.1,6.0,36.7%,37.2,10.0,0.8,8.0%,0.4,11.5,GK,26-055,BRA,Getafe,https://fbref.com/en/players/82328faf/Daniel-Fuzato,450,Goalkeeper
Manuel Riemann,2.03,5.28,3.28,65.7%,0.31,0.19,0.5,0.16,15.6%,0.34,0.22,0.03,0.09,12.5%,Advanced Goalkeeping,0.06,0.19,0.06,1.86,0.3,-0.11,15.38,33.44,46.0%,42.94,2.59,65.9%,44.1,7.5,68.3%,50.1,16.22,0.94,5.8%,3.19,21.7,GK,34-353,GER,Bochum,https://fbref.com/en/players/9f941969/Manuel-Riemann,2880,Goalkeeper
